"Add to Cart","Añadir al carrito"
"Add to Wish List","Añadir a la lista de deseos"
"Add to Compare","Añadir para comparar"
"Product was added to your shopping cart.","El producto se ha añadido a tu carrito de compras."
"Shopping Cart","Carrito de compra"
"Proceed to Checkout","Proceder al pago"
"Account","Cuenta"
"Sign In","Iniciar sesión"
"Register","Registrarse"
"My Account","Mi cuenta"
"My Orders","Mis pedidos"
"My Wishlist","Mi lista de deseos"
"Newsletter Subscription","Suscripción al boletín"
"Address Book","Libreta de direcciones"
"My Product Reviews","Mis reseñas de productos"
"Search","Buscar"
"Search entire store here...","Buscar en toda la tienda..."
"Advanced Search","Búsqueda avanzada"
"Price","Precio"
"Special Price","Precio especial"
"Tax","Impuesto"
"In stock","En stock"
"Out of stock","Agotado"
"Availability","Disponibilidad"
"Quantity","Cantidad"
"Filter","Filtrar"
"Sort By","Ordenar por"
"Position","Posición"
"Name","Nombre"
"Customer Login","Inicio de sesión del cliente"
"Email","Correo electrónico"
"Password","Contraseña"
"Forgot Your Password?","¿Has olvidado tu contraseña?"
"Create New Customer Account","Crear nueva cuenta de cliente"
"Checkout","Pago"
"Shipping","Envío"
"Shipping Address","Dirección de envío"
"Billing Address","Dirección de facturación"
"Payment Method","Método de pago"
"Review & Payments","Revisar y pagar"
"Order Summary","Resumen del pedido"
"Discount Code","Código de descuento"
"Apply Discount","Aplicar descuento"
"Shipping Methods","Métodos de envío"
"Next","Siguiente"
"Place Order","Realizar pedido"
"Thank you for your purchase!","¡Gracias por tu compra!"
"Home","Inicio"
"Contact Us","Contáctanos"
"About Us","Sobre nosotros"
"View All","Ver todos"
"My Wish List","Mi lista de deseos"
"You have no items in your wish list.","Todavía no hay elementos en tu lista de deseos"
"Compare Products","Comparar productos"
"You have no items to compare.","No tienes elementos en la lista de comparación"
"Recently Ordered", "Comprados recientemente"
"Relevance", "Novedad"
"Product Name", "Nombre de producto" 
"Subscribe", "Subscribir"
"Enter your email address", "Introduce un email válido" 
"You have no items in your shopping cart.", "Todavía no tienes elementos en el carrito."
"My Downloadable Products", "Productos virtuales"
"Account Information", "Datos de tu cuenta"
"First Name", "Nombre de pila"
"Last Name", "Apellidos"
"Change Email", "Cambiar el email"
"Change Password", "Cambiar la contraseña"
"Allow remote shopping assistance", "Habilitar asistencia remota"
"Save", "Grabar"
"Newsletter Subscriptions", "Subscripción a la newsletter"
"Create an Account", "Crea una cuenta"
"or", "or"
"Shopping Options", "Filtros"
"You're reviewing:", "Vas a opinar sobre"
"Nickname","Apodo"
"Submit Review", "Enviar valoración"
"Reviews", "Opiniones"
"Summary", "Resumen"
"Review", "Valoración"
"Be the first to review this product", "Quiero ser el primero en valorar el producto"
"Details","Detalles"
"You must login or register to add items to your wishlist.", "Introduce tus credenciales para poder usar la lista de favoritos"
"Registered Customers", "Introduce tus credenciales"
"New Customers","¿Quieres ser cliente?"
"If you have an account, sign in with your email address.","Si ya tienes una cuenta, introduce tu email y contraseña"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Crea una cuenta para acceder a todos los beneficios de ser cliente."
"Sign out", "Desconectar"
"Default Addresses","Direcciones por defecto"
"Default Billing Address","Dirección fiscal"
"Default Shipping Address","Dirección de envío por defecto"
"Change Billing Address","Cambiar dirección de facturación"
"Additional Address Entries","Direcciones de envío adicionales"
"Add New Address","Añadir nueva dirección"
"Contact Information","Información de contacto"
"Company","Empresa"
"Phone Number","Número de teléfono"
"Address","Dirección"
"Street Address","Calle y número"
"Country","País"
"State/Province","Provincia"
"City","Localidad"
"Use as my default billing address","Usar como dirección fiscal"
"Save Address", "Grabar dirección"
"Change Shipping Address", "Cambiar dirección de envío"
"You have no other address entries in your address book.", "Puedes añadir direcciones de envío adicionales".
"It's a default billing address.","Es la dirección fiscal por defecto"
"It's a default shipping address.", "Es la dirección de envío por defecto"
"General Subscription", "Subscripción a la newsletter"
"Manage Addresses", "Modificar las direcciones"
"You have submitted no reviews.", "Todavía no tienes valoraciones"
"Edit Account Information","Modificar los datos de tu cuenta"
"This is a required field.","Campo obligatorio"
"Please select an option.","Por favor selecciona una opción"
"Order", "Pedido"
"Date", "Fecha"
"Title", "Título"
"Status", "Estado"
"Remaining Downloads", "Descargas disponibles"
"Unlimited", "Sin límite"
"Available", "Disponible"
"Edit Address", "Modificar dirección"
"Recent Orders", "Últimos pedidos"
"View Order", "Ver pedido"
"Reorder", "Repetir pedido"
"Ship To", "Enviar a" 
"Order Total", "Total del pedido"
"Edit", "Modificar"
"Order #", "#Pedido"
"You aren't subscribed to our newsletter.", "Todavía no estás subscrito a la newsletter"
"Processing","En curso"
"Stored Payment Methods","Métodos de pago almacenados"
"You have no stored payment methods.", "No se han encontrado métodos de pago almacenados."
"As low as", "Precio desde"
"links", "Enlaces"
"You submitted your review for moderation.","Tu valoración se ha enviado para nuestra revisión. Gracias por tu colaboración."
"Learn more", "Más información"
"Your search returned no results.", "No se han encontrado resultados"
"The product's required option(s) weren't entered. Make sure the options are entered and try again.","El producto tiene algunas opciones obligatorias que tienes que informar antes de añadirlo al carrito. Gracias."
"Search results for:", "Resultados para la búsqueda: "
"Show Password","Muestra la contraseña"
"Required Fields","Campos obligatorios"
"Action" , "Acción"
"From", "Desde"
"To", "Hasta"
"Customize and Add to Cart", "Personaliza y añade al carrito"
"Qty", "Cantidad"
"Apply Discount Code","Aplicar código de descuento"
"Update Shopping Cart", "Actualizar carrito"
"Update", "Actualizar"
"Remove Item", "Eliminar producto"
"Remove All Items", "Eliminar todos los productos"
"Remove All Items from Cart", "Eliminar todos los productos del carrito"
"Your shopping cart is empty.","Tu carrito de compras está vacío."
"Check Out with Multiple Addresses", "Enviar a varias direcciones"
"Shipping Address", "Dirección de envío"
"Billing Address", "Dirección de facturación"
"Review & Payments", "Revisar y pagar"
"Shipping Method", "Método de envío"
"Payment Method", "Método de pago"
"Order Summary", "Resumen del pedido"
"Order Comments", "Comentarios sobre el pedido"
"Order Confirmation", "Confirmación del pedido"
"Order History", "Histórico de pedidos"
"Order Details", "Detalles del pedido"
"Order Information", "Información del pedido"
"Order Number", "Número de pedido"
"Order Date", "Fecha del pedido"
"Order Status", "Estado del pedido"
"Order Total", "Total del pedido"
"Order History", "Histórico de pedidos"
"Order Comments", "Comentarios sobre el pedido"